Feature,mean,std
Feature_0,0.0002478775343375539,0.00028383546887751426
Feature_1,0.0023593023266185453,0.0017301637186378368
Feature_2,0.0005326885010607704,0.0005853549970226262
Feature_3,0.03284107783023233,0.012308020062046478
Feature_4,0.00027197251016554863,0.0004529274890782941
Feature_5,3.6418010459134584e-09,4.1154965363586744e-09
Feature_6,1.0573965154951162e-05,1.3031990037995746e-05
Feature_7,0.18615342444483662,0.01715566876134386
Feature_8,4.655567852192751e-06,4.526802459026689e-07
Feature_9,0.0,0.0
Feature_10,0.0011442407007592377,0.0010489100942440415
Feature_11,0.0,0.0
Feature_12,0.0002696564002688158,2.6241605237011626e-05
Feature_13,1.5554993673024449e-06,1.949466983972709e-06
Feature_14,8.610501092039721e-07,1.2826177854269836e-06
Feature_15,1.109161978281777e-07,1.0251086337245834e-07
Feature_16,0.0,0.0
Feature_17,3.812056854712864e-05,4.1298500063176214e-05
Feature_18,0.0,0.0
Feature_19,1.6948932521067734e-05,2.9020102087546217e-05
Feature_20,1.8883942103688673e-05,3.233329864035078e-05
Feature_21,7.233725825210128e-06,7.114704064503502e-06
